date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51922,ALLOW,Normal
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51922,ALLOW,Normal
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51867,ALLOW,Normal
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51877,ALLOW,Normal
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51877,ALLOW,Normal
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51922,ALLOW,Normal
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51922,ALLOW,Normal
2024-06-13 09:11:47,,120.241.118.153,20054,10.21.250.9,51867,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.153,20054,10.21.250.9,51867,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51844,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51844,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51844,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51705,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51705,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51705,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51705,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51705,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51705,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51705,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.153,20054,10.21.250.9,51926,ALLOW,Normal
2024-06-13 09:11:48,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
2024-06-13 09:11:49,,120.241.118.152,20054,10.21.250.9,51863,ALLOW,Normal
